"Périmètre";"Périmètre.ID";"Périmètre.label";"Année";"Qualification.Candidats.PR";"Qualification.Candidats.PR.femmes";"Qualification.Qualifiés.PR";"Qualification.Qualifiés.PR.femmes";"Qualification.Candidats.MCF";"Qualification.Candidats.MCF.femmes";"Qualification.Qualifiés.MCF";"Qualification.Qualifiés.MCF.femmes";"Concours.Postes.PR";"Concours.Candidats.PR";"Concours.Candidats.PR.femmes";"Concours.Recrutés.PR";"Concours.Recrutés.PR.femmes";"Concours.Postes.MCF";"Concours.Candidats.MCF";"Concours.Candidats.MCF.femmes";"Concours.Recrutés.MCF";"Concours.Recrutés.MCF.femmes";"Effectif.MCF";"Effectif.PR";"Effectif.ETU";"Effectif.EC";"Contexte.TauxEncadrement";"Contexte.EvolRéelle";"Contexte.EvolNécessaire";"kpi.MCF.TauxTension";"kpi.MCF.TauxRéussite";"kpi.MCF.SansPoste";"kpi.MCF.TauxSélection";"kpi.MCF.TauxSélection.Qualification";"kpi.MCF.TauxSélection.Concours";"kpi.MCF.TauxSélection.QualifVsConcours";"kpi.PériodeRenouvellement"
"Ensemble";"Ensemble";"Ensemble";"2009";2473,36196892793;0,298;1745;0,295;10182,3314230581;43,8;7087;0,441;1185;2269;0,292;947;0,307;2194;9756;0,449;2036;0,417;36276;19964;1517695;56240;3,70561937675225;0;0;4,44667274384685;0,208692086920869;7720;0,199954206498272;0,696009558670556;0,28728658106392;0,62003369832256;27,62278978389
"Ensemble";"Ensemble";"Ensemble";"2010";2058,79775514235;0,285;1453;0,282;8670,84508617948;44,2;6081;0,449;1129;2138;0,286;899;0,297;2101;9706;0,458;1963;0,434;36375;20071;1529764;56446;3,68985019911568;206;447,231202580233;4,61970490242742;0,202246033381414;7743;0,2263908512365;0,701315724080061;0,322808748561092;0,613908035605135;28,7549668874172
"Ensemble";"Ensemble";"Ensemble";"2011";2069;0,293;1602;0,295;8996;44;6503;0,433;1162;2420;0,279;970;0,319;1989;9918;0,464;1881;0,448;36368;20245;1545350;56613;3,66344193871938;373;1024,78903864083;4,98642533936652;0,189655172413793;8037;0,209092930191196;0,72287683414851;0,28925111487006;0,649613492621223;30,097288676236
"Ensemble";"Ensemble";"Ensemble";"2012";2092;0,304;1630;0,306;9089;45,2;6689;0,445;1075;2434;0,295;883;0,293;1852;9697;0,465;1742;0,452;36555;20353;1584308;56908;3,59197832744643;668;2468,42423543597;5,23596112311015;0,179643188615036;7955;0,191660248652217;0,735944548355155;0,260427567648378;0,673336055532871;32,6681974741676
"Ensemble";"Ensemble";"Ensemble";"2013";2091;0,332;1657;0,337;9190;45,1;6799;0,439;817;2072;0,303;717;0,317;1675;9859;0,459;1593;0,465;36546;20344;1616863;56890;3,51854176884498;650;3674,78862353767;5,88597014925373;0,161578253372553;8266;0,173340587595212;0,739825897714907;0,234299161641418;0,685270501513755;35,7124921531701
"Ensemble";"Ensemble";"Ensemble";"2014";2030;0,334;1591;0,339;9123;46,3;6767;0,459;802;2084;0,314;711;0,34;1447;9680;0,463;1393;0,447;36184;20252;1660689;56436;3,39834851679032;196;5298,8133715931;6,68970283344851;0,143904958677686;8287;0,152691000767291;0,741751616792722;0,20585192847643;0,695213454075032;40,5139985642498
"Ensemble";"Ensemble";"Ensemble";"2015";2579;0,371;1784;0,345;8764;46,1;6493;0,458;779;2188;0,325;689;0,363;1299;9497;0,469;1256;0,469;36377;20308;1681236;56685;3,37162658900951;445;6060,20698493439;7,31100846805235;0,132252290196904;8241;0,143313555454131;0,740871748060246;0,193439088248883;0,697522642514651;45,1313694267516
"Ensemble";"Ensemble";"Ensemble";"2016";2293;0,355;1634;0,346;8472;46,4;6426;0,457;794;2114;0,328;704;0,374;1328;9507;0,474;1287;0,503;35643;20037;1696938;55680;3,28120414534886;-560;6642,06333947203;7,15888554216868;0,135373934995267;8220;0,151912181303116;0,758498583569405;0,200280112044818;0,715240083507307;43,2634032634033
"Ensemble";"Ensemble";"Ensemble";"2017";2308;0,369;1666;0,361;8143;46,9;6122;0,465;707;2035;0,337;635;0,395;1254;9034;0,477;1188;0,474;35487;20020;1727042;55507;3,21399247962702;-733;7757,60299664953;7,20414673046252;0,131503210095196;7846;0,145892177330222;0,751811371730321;0,194054230643581;0,70941768511862;46,723063973064
"Ensemble";"Ensemble";"Ensemble";"2018";2330;0,351;1802;0,345;8148;46,5;6042;0,466;578;1908;0,345;528;0,371;1189;8540;0,477;1108;0,465;35461;20077;1761862;55538;3,15223326230999;-702;9047,89966363466;7,1825063078217;0,129742388758782;7432;0,135984290623466;0,741531664212077;0,183382985766303;0,700852272727273;50,1245487364621
"Ensemble";"Ensemble";"Ensemble";"2019";2225;0,349;1704;0,347;8359;46;6141;0,456;566;1908;0,342;524;0,347;1070;7958;0,474;1018;0,486;NA;NA;1783542;NA;NA;NA;9851,27794451455;7,43738317757009;0,127921588338779;6940;0,121784902500299;0,73465725565259;0,165771047060739;0,697861326794715;NA
"Grande discipline";"DEG";"Droit éco gestion";"2009";32,6974801398749;0,28;6;0,333;1352,18083607582;46;555;0,474;177;140;0,321;107;0,299;372;1095;0,472;330;0,476;5183;2253;449592;7436;1,65394402035623;0;0;2,94354838709677;0,301369863013699;765;0,244050197426031;0,410448059307416;0,594594594594595;0,220117607432146;22,5333333333333
"Grande discipline";"DEG";"Droit éco gestion";"2010";24,9625923648507;0,254;13;0,231;1185,04792528135;47,6;525;0,531;186;149;0,262;105;0,295;392;1077;0,489;352;0,5;5192;2295;454595;7487;1,64696048130754;51;82,7468193384231;2,74744897959184;0,326833797585887;725;0,297034400458048;0,443020057501351;0,67047619047619;0,20767112521356;21,2698863636364
"Grande discipline";"DEG";"Droit éco gestion";"2011";18;0,278;8;0,375;1245;46,6;558;0,509;181;154;0,286;111;0,297;375;1188;0,503;336;0,515;5249;2310;458294;7559;1,64937791024975;123;143,9262086514;3,168;0,282828282828283;852;0,269879518072289;0,448192771084337;0,602150537634409;0,244224422442244;22,4970238095238
"Grande discipline";"DEG";"Droit éco gestion";"2012";37;0,243;8;0,125;1324;46,5;611;0,46;174;266;0,346;90;0,267;398;1220;0,47;356;0,494;5290;2328;462139;7618;1,64842179517418;182;207,520356234097;3,06532663316583;0,291803278688525;864;0,268882175226586;0,461480362537764;0,582651391162029;0,263429752066116;21,3988764044944
"Grande discipline";"DEG";"Droit éco gestion";"2013";30;0,2;7;0,286;1338;46,9;600;0,467;118;141;0,284;90;0,311;371;1297;0,478;346;0,503;5330;2326;460206;7656;1,66360282134522;220;175,54961832061;3,49595687331536;0,266769468003084;951;0,258594917787743;0,448430493273543;0,576666666666667;0,256048387096774;22,1271676300578
"Grande discipline";"DEG";"Droit éco gestion";"2014";19;0,316;9;0,333;1326;47,7;617;0,496;137;159;0,289;104;0,298;315;1252;0,462;304;0,53;5296;2318;463281;7614;1,64349498468532;178;226,408396946565;3,97460317460317;0,242811501597444;948;0,229260935143288;0,465309200603318;0,492706645056726;0,306262230919765;25,0460526315789
"Grande discipline";"DEG";"Droit éco gestion";"2015";695;0,481;216;0,449;1366;49,5;649;0,521;182;284;0,394;139;0,388;287;1330;0,483;279;0,548;5361;2335;460563;7696;1,67099832161941;260;181,454198473282;4,63414634146341;0,209774436090226;1051;0,204245973645681;0,47510980966325;0,429892141756549;0,340386384544618;27,584229390681
