"Année";"SectionCNU.ID";"Qualification.Candidats.MCF";"Qualification.Qualifiés.MCF";"Concours.Postes.MCF";"Concours.Recrutés.MCF"
2002;1;404;108;110;104
2002;2;321;59;62;58
2002;3;72;25;17;17
2002;4;216;50;15;15
2002;5;339;144;70;64
2002;6;283;114;151;29
2002;7;244;164;41;40
2002;8;59;35;22;22
2002;9;336;146;61;59
2002;10;134;41;14;14
2002;11;214;127;147;134
2002;12;69;33;34;30
2002;13;45;28;8;8
2002;14;189;75;71;63
2002;15;122;55;23;23
2002;16;317;129;73;65
2002;17;193;69;23;22
2002;18;282;130;45;42
2002;19;388;161;45;43
2002;20;252;109;12;11
2002;21;240;123;35;35
2002;22;430;225;53;50
2002;23;202;104;39;38
2002;24;131;60;5;5
2002;25;301;190;45;45
2002;26;355;194;56;54
2002;27;555;273;194;184
2002;28;478;313;44;44
2002;29;111;82;13;13
2002;30;191;127;21;21
2002;31;428;247;45;45
2002;32;450;283;46;46
2002;33;359;247;38;38
2002;34;60;42;6;6
2002;35;183;118;30;30
2002;36;194;104;16;16
2002;37;122;51;11;10
2002;60;479;241;87;81
2002;61;383;155;70;65
2002;62;292;158;45;44
2002;63;342;184;67;63
2002;64;863;433;39;37
2002;65;723;331;36;36
2002;66;426;192;27;27
2002;67;392;157;27;27
2002;68;382;204;20;19
2002;69;207;116;17;17
2002;70;324;103;39;37
2002;71;255;82;61;55
2002;72;63;25;4;4
2002;73;27;12;5;5
2002;74;180;69;60;58
2002;75;0;0;3;3
2002;85;138;70;20;19
2002;86;187;85;28;28
2002;87;291;112;21;20
2003;1;305;113;67;64
2003;2;234;57;56;54
2003;3;70;23;14;13
2003;4;166;63;12;12
2003;5;292;153;66;65
2003;6;234;96;114;99
2003;7;230;176;42;39
2003;8;55;32;17;17
2003;9;308;141;35;34
2003;10;163;37;9;9
2003;11;187;116;112;101
2003;12;62;34;21;19
2003;13;40;25;10;9
2003;14;155;76;67;61
2003;15;127;66;18;15
2003;16;284;130;66;63
2003;17;168;77;18;18
2003;18;245;155;35;33
2003;19;330;176;42;42
2003;20;225;112;11;11
2003;21;187;100;27;27
2003;22;373;207;43;41
2003;23;180;126;30;29
2003;24;137;71;11;11
2003;25;286;195;51;50
2003;26;390;234;67;66
2003;27;576;368;159;153
2003;28;481;347;67;66
2003;29;133;118;14;14
2003;30;199;168;29;29
2003;31;421;317;44;42
2003;32;439;315;45;44
2003;33;394;324;45;45
2003;34;70;61;3;3
2003;35;233;164;26;26
2003;36;228;149;16;15
2003;37;128;78;7;7
2003;60;498;311;85;83
2003;61;401;195;66;62
2003;62;325;200;36;35
2003;63;374;218;69;66
2003;64;841;522;42;40
2003;65;724;403;41;39
2003;66;455;215;32;31
2003;67;362;188;32;32
2003;68;404;237;20;20
2003;69;230;164;15;15
2003;70;277;100;43;39
2003;71;208;71;45;40
2003;72;64;46;7;6
2003;73;12;8;2;2
2003;74;188;87;50;44
2003;75;12;6;1;0
2003;85;164;88;16;15
2003;86;190;84;27;27
2003;87;311;135;13;12
2004;1;298;96;91;88
2004;2;265;55;45;43
2004;3;56;18;7;7
2004;4;207;79;17;16
2004;5;314;133;65;61
2004;6;297;119;115;106
2004;7;225;153;37;32
2004;8;54;38;16;15
2004;9;301;145;33;32
2004;10;160;48;15;13
2004;11;193;120;104;90
2004;12;67;41;24;23
2004;13;39;25;7;7
2004;14;170;92;70;57
2004;15;117;61;18;16
2004;16;278;114;63;58
2004;17;198;100;27;27
2004;18;243;133;31;29
2004;19;366;205;36;35
2004;20;228;141;7;7
2004;21;198;115;35;35
2004;22;376;248;47;45
2004;23;209;134;55;52
2004;24;153;60;7;7
2004;25;270;214;49;47
2004;26;387;259;52;51
2004;27;636;374;162;155
2004;28;570;379;68;67
2004;29;119;90;15;15
2004;30;248;191;33;32
2004;31;492;348;62;59
2004;32;502;332;60;59
