"Annee";"SectionCNU.ID";"QualificationDossiers.MCF";"QualificationQualifies.MCF";"PostesPublies.MCF";"Candidatures.MCF";"Candidats.MCF";"PostesPourvus.MCF";"Candidatures.MCF.F";"Candidatures.MCF.H";"Candidats.MCF.F";"Candidats.MCF.H";"Recrutes.MCF.F";"Recrutes.MCF.H"
2002;1;404;108;110;NA;NA;104;NA;NA;NA;NA;NA;NA
2002;2;321;59;62;NA;NA;58;NA;NA;NA;NA;NA;NA
2002;3;72;25;17;NA;NA;17;NA;NA;NA;NA;NA;NA
2002;4;216;50;15;NA;NA;15;NA;NA;NA;NA;NA;NA
2002;5;339;144;70;NA;NA;64;NA;NA;NA;NA;NA;NA
2002;6;283;114;151;NA;NA;29;NA;NA;NA;NA;NA;NA
2002;7;244;164;41;NA;NA;40;NA;NA;NA;NA;NA;NA
2002;8;59;35;22;NA;NA;22;NA;NA;NA;NA;NA;NA
2002;9;336;146;61;NA;NA;59;NA;NA;NA;NA;NA;NA
2002;10;134;41;14;NA;NA;14;NA;NA;NA;NA;NA;NA
2002;11;214;127;147;NA;NA;134;NA;NA;NA;NA;NA;NA
2002;12;69;33;34;NA;NA;30;NA;NA;NA;NA;NA;NA
2002;13;45;28;8;NA;NA;8;NA;NA;NA;NA;NA;NA
2002;14;189;75;71;NA;NA;63;NA;NA;NA;NA;NA;NA
2002;15;122;55;23;NA;NA;23;NA;NA;NA;NA;NA;NA
2002;16;317;129;73;NA;NA;65;NA;NA;NA;NA;NA;NA
2002;17;193;69;23;NA;NA;22;NA;NA;NA;NA;NA;NA
2002;18;282;130;45;NA;NA;42;NA;NA;NA;NA;NA;NA
2002;19;388;161;45;NA;NA;43;NA;NA;NA;NA;NA;NA
2002;20;252;109;12;NA;NA;11;NA;NA;NA;NA;NA;NA
2002;21;240;123;35;NA;NA;35;NA;NA;NA;NA;NA;NA
2002;22;430;225;53;NA;NA;50;NA;NA;NA;NA;NA;NA
2002;23;202;104;39;NA;NA;38;NA;NA;NA;NA;NA;NA
2002;24;131;60;5;NA;NA;5;NA;NA;NA;NA;NA;NA
2002;25;301;190;45;NA;NA;45;NA;NA;NA;NA;NA;NA
2002;26;355;194;56;NA;NA;54;NA;NA;NA;NA;NA;NA
2002;27;555;273;194;NA;NA;184;NA;NA;NA;NA;NA;NA
2002;28;478;313;44;NA;NA;44;NA;NA;NA;NA;NA;NA
2002;29;111;82;13;NA;NA;13;NA;NA;NA;NA;NA;NA
2002;30;191;127;21;NA;NA;21;NA;NA;NA;NA;NA;NA
2002;31;428;247;45;NA;NA;45;NA;NA;NA;NA;NA;NA
2002;32;450;283;46;NA;NA;46;NA;NA;NA;NA;NA;NA
2002;33;359;247;38;NA;NA;38;NA;NA;NA;NA;NA;NA
2002;34;60;42;6;NA;NA;6;NA;NA;NA;NA;NA;NA
2002;35;183;118;30;NA;NA;30;NA;NA;NA;NA;NA;NA
2002;36;194;104;16;NA;NA;16;NA;NA;NA;NA;NA;NA
2002;37;122;51;11;NA;NA;10;NA;NA;NA;NA;NA;NA
2002;60;479;241;87;NA;NA;81;NA;NA;NA;NA;NA;NA
2002;61;383;155;70;NA;NA;65;NA;NA;NA;NA;NA;NA
2002;62;292;158;45;NA;NA;44;NA;NA;NA;NA;NA;NA
2002;63;342;184;67;NA;NA;63;NA;NA;NA;NA;NA;NA
2002;64;863;433;39;NA;NA;37;NA;NA;NA;NA;NA;NA
2002;65;723;331;36;NA;NA;36;NA;NA;NA;NA;NA;NA
2002;66;426;192;27;NA;NA;27;NA;NA;NA;NA;NA;NA
2002;67;392;157;27;NA;NA;27;NA;NA;NA;NA;NA;NA
2002;68;382;204;20;NA;NA;19;NA;NA;NA;NA;NA;NA
2002;69;207;116;17;NA;NA;17;NA;NA;NA;NA;NA;NA
2002;70;324;103;39;NA;NA;37;NA;NA;NA;NA;NA;NA
2002;71;255;82;61;NA;NA;55;NA;NA;NA;NA;NA;NA
2002;72;63;25;4;NA;NA;4;NA;NA;NA;NA;NA;NA
2002;73;27;12;5;NA;NA;5;NA;NA;NA;NA;NA;NA
2002;74;180;69;60;NA;NA;58;NA;NA;NA;NA;NA;NA
2002;75;0;0;3;NA;NA;3;NA;NA;NA;NA;NA;NA
2002;85;138;70;20;NA;NA;19;NA;NA;NA;NA;NA;NA
2002;86;187;85;28;NA;NA;28;NA;NA;NA;NA;NA;NA
2002;87;291;112;21;NA;NA;20;NA;NA;NA;NA;NA;NA
2003;1;305;113;67;NA;NA;64;NA;NA;NA;NA;NA;NA
2003;2;234;57;56;NA;NA;54;NA;NA;NA;NA;NA;NA
2003;3;70;23;14;NA;NA;13;NA;NA;NA;NA;NA;NA
2003;4;166;63;12;NA;NA;12;NA;NA;NA;NA;NA;NA
2003;5;292;153;66;NA;NA;65;NA;NA;NA;NA;NA;NA
2003;6;234;96;114;NA;NA;99;NA;NA;NA;NA;NA;NA
2003;7;230;176;42;NA;NA;39;NA;NA;NA;NA;NA;NA
2003;8;55;32;17;NA;NA;17;NA;NA;NA;NA;NA;NA
2003;9;308;141;35;NA;NA;34;NA;NA;NA;NA;NA;NA
2003;10;163;37;9;NA;NA;9;NA;NA;NA;NA;NA;NA
2003;11;187;116;112;NA;NA;101;NA;NA;NA;NA;NA;NA
2003;12;62;34;21;NA;NA;19;NA;NA;NA;NA;NA;NA
2003;13;40;25;10;NA;NA;9;NA;NA;NA;NA;NA;NA
2003;14;155;76;67;NA;NA;61;NA;NA;NA;NA;NA;NA
2003;15;127;66;18;NA;NA;15;NA;NA;NA;NA;NA;NA
2003;16;284;130;66;NA;NA;63;NA;NA;NA;NA;NA;NA
2003;17;168;77;18;NA;NA;18;NA;NA;NA;NA;NA;NA
2003;18;245;155;35;NA;NA;33;NA;NA;NA;NA;NA;NA
2003;19;330;176;42;NA;NA;42;NA;NA;NA;NA;NA;NA
2003;20;225;112;11;NA;NA;11;NA;NA;NA;NA;NA;NA
2003;21;187;100;27;NA;NA;27;NA;NA;NA;NA;NA;NA
2003;22;373;207;43;NA;NA;41;NA;NA;NA;NA;NA;NA
2003;23;180;126;30;NA;NA;29;NA;NA;NA;NA;NA;NA
2003;24;137;71;11;NA;NA;11;NA;NA;NA;NA;NA;NA
2003;25;286;195;51;NA;NA;50;NA;NA;NA;NA;NA;NA
2003;26;390;234;67;NA;NA;66;NA;NA;NA;NA;NA;NA
2003;27;576;368;159;NA;NA;153;NA;NA;NA;NA;NA;NA
2003;28;481;347;67;NA;NA;66;NA;NA;NA;NA;NA;NA
2003;29;133;118;14;NA;NA;14;NA;NA;NA;NA;NA;NA
2003;30;199;168;29;NA;NA;29;NA;NA;NA;NA;NA;NA
2003;31;421;317;44;NA;NA;42;NA;NA;NA;NA;NA;NA
2003;32;439;315;45;NA;NA;44;NA;NA;NA;NA;NA;NA
2003;33;394;324;45;NA;NA;45;NA;NA;NA;NA;NA;NA
2003;34;70;61;3;NA;NA;3;NA;NA;NA;NA;NA;NA
2003;35;233;164;26;NA;NA;26;NA;NA;NA;NA;NA;NA
2003;36;228;149;16;NA;NA;15;NA;NA;NA;NA;NA;NA
2003;37;128;78;7;NA;NA;7;NA;NA;NA;NA;NA;NA
2003;60;498;311;85;NA;NA;83;NA;NA;NA;NA;NA;NA
2003;61;401;195;66;NA;NA;62;NA;NA;NA;NA;NA;NA
2003;62;325;200;36;NA;NA;35;NA;NA;NA;NA;NA;NA
2003;63;374;218;69;NA;NA;66;NA;NA;NA;NA;NA;NA
2003;64;841;522;42;NA;NA;40;NA;NA;NA;NA;NA;NA
2003;65;724;403;41;NA;NA;39;NA;NA;NA;NA;NA;NA
2003;66;455;215;32;NA;NA;31;NA;NA;NA;NA;NA;NA
2003;67;362;188;32;NA;NA;32;NA;NA;NA;NA;NA;NA
2003;68;404;237;20;NA;NA;20;NA;NA;NA;NA;NA;NA
2003;69;230;164;15;NA;NA;15;NA;NA;NA;NA;NA;NA
2003;70;277;100;43;NA;NA;39;NA;NA;NA;NA;NA;NA
2003;71;208;71;45;NA;NA;40;NA;NA;NA;NA;NA;NA
2003;72;64;46;7;NA;NA;6;NA;NA;NA;NA;NA;NA
2003;73;12;8;2;NA;NA;2;NA;NA;NA;NA;NA;NA
2003;74;188;87;50;NA;NA;44;NA;NA;NA;NA;NA;NA
2003;75;12;6;1;NA;NA;0;NA;NA;NA;NA;NA;NA
2003;85;164;88;16;NA;NA;15;NA;NA;NA;NA;NA;NA
2003;86;190;84;27;NA;NA;27;NA;NA;NA;NA;NA;NA
