"Périmètre";"Périmètre.ID";"Année";"Qualification.Candidats.PR";"Qualification.Candidats.PR.femmes";"Qualification.Qualifiés.PR";"Qualification.Qualifiés.PR.femmes";"Qualification.Candidats.MCF";"Qualification.Candidats.MCF.femmes";"Qualification.Qualifiés.MCF";"Qualification.Qualifiés.MCF.femmes";"Concours.Postes.PR";"Concours.Candidats.PR";"Concours.Candidats.PR.femmes";"Concours.Recrutés.PR";"Concours.Recrutés.PR.femmes";"Concours.Postes.MCF";"Concours.Candidats.MCF";"Concours.Candidats.MCF.femmes";"Concours.Recrutés.MCF";"Concours.Recrutés.MCF.femmes"
"Ensemble";"Ensemble";2009;2473,36196892793;0,298;1745;0,295;10182,3314230581;43,8;7087;0,441;1185;2269;0,292;947;0,307;2194;9756;0,449;2036;0,417
"Ensemble";"Ensemble";2010;2058,79775514235;0,285;1453;0,282;8670,84508617948;44,2;6081;0,449;1129;2138;0,286;899;0,297;2101;9706;0,458;1963;0,434
"Ensemble";"Ensemble";2011;2069;0,293;1602;0,295;8996;44;6503;0,433;1162;2420;0,279;970;0,319;1989;9918;0,464;1881;0,448
"Ensemble";"Ensemble";2012;2092;0,304;1630;0,306;9089;45,2;6689;0,445;1075;2434;0,295;883;0,293;1852;9697;0,465;1742;0,452
"Ensemble";"Ensemble";2013;2091;0,332;1657;0,337;9190;45,1;6799;0,439;817;2072;0,303;717;0,317;1675;9859;0,459;1593;0,465
"Ensemble";"Ensemble";2014;2030;0,334;1591;0,339;9123;46,3;6767;0,459;802;2084;0,314;711;0,34;1447;9680;0,463;1393;0,447
"Ensemble";"Ensemble";2015;2579;0,371;1784;0,345;8764;46,1;6493;0,458;779;2188;0,325;689;0,363;1299;9497;0,469;1256;0,469
"Ensemble";"Ensemble";2016;2293;0,369;1634;0,346;8472;46,4;6426;0,457;794;2114;0,328;704;0,374;1328;9507;0,474;1287;0,503
"Ensemble";"Ensemble";2017;2308;0,351;1666;0,361;8143;46,9;6122;0,465;707;2035;0,337;635;0,395;1254;9034;0,477;1188;0,474
"Ensemble";"Ensemble";2018;2330;0,349;1802;0,345;8148;46,5;6042;0,466;578;1908;0,345;528;0,371;1189;8540;0,477;1108;0,465
"Ensemble";"Ensemble";2019;2225;0,349;1704;0,347;8359;46;6141;0,456;566;1908;0,342;524;0,347;1070;7958;0,474;1018;0,486
"Ensemble";"Ensemble";2020;2338;0,363;1739;0,365;8387;46,3;5998;0,461;580;2004;0,355;542;0,387;1155;8508;0,472;1104;0,482
"Grande discipline";"DEG";2009;32,6974801398749;0,28;6;0,333;1352,18083607582;46;555;0,474;177;140;0,321;107;0,299;372;1095;0,472;330;0,476
"Grande discipline";"DEG";2010;24,9625923648507;0,254;13;0,231;1185,04792528135;47,6;525;0,531;186;149;0,262;105;0,295;392;1077;0,489;352;0,5
"Grande discipline";"DEG";2011;18;0,278;8;0,375;1245;46,6;558;0,509;181;154;0,286;111;0,297;375;1188;0,503;336;0,515
"Grande discipline";"DEG";2012;37;0,243;8;0,125;1324;46,5;611;0,46;174;266;0,346;90;0,267;398;1220;0,47;356;0,494
"Grande discipline";"DEG";2013;30;0,2;7;0,286;1338;46,9;600;0,467;118;141;0,284;90;0,311;371;1297;0,478;346;0,503
"Grande discipline";"DEG";2014;19;0,316;9;0,333;1326;47,7;617;0,496;137;159;0,289;104;0,298;315;1252;0,462;304;0,53
"Grande discipline";"DEG";2015;695;0,481;216;0,449;1366;49,5;649;0,521;182;284;0,394;139;0,388;287;1330;0,483;279;0,548
"Grande discipline";"DEG";2016;462;0,448;146;0,459;1254;46,4;630;0,481;195;308;0,416;159;0,384;282;1341;0,495;275;0,509
"Grande discipline";"DEG";2017;407;0,474;139;0,496;1277;45;635;0,461;165;301;0,435;136;0,456;296;1360;0,488;276;0,522
"Grande discipline";"DEG";2018;312;0,436;95;0,463;1301;45,3;578;0,478;120;255;0,416;100;0,47;253;1340;0,466;233;0,536
"Grande discipline";"DEG";2019;327;0,434;107;0,514;1320;45,9;581;0,461;104;248;0,415;94;0,383;248;1301;0,459;235;0,477
"Grande discipline";"DEG";2020;346;0,439;130;0,515;1329;46,4;627;0,469;93;248;0,435;88;0,386;247;1311;0,468;236;0,508
"Grande discipline";"LLASHS";2009;708,670281847137;0,415;484;0,438;3767,41289357402;53,3;2345;0,548;441;695;0,424;345;0,4;724;3985;0,553;687;0,553
"Grande discipline";"LLASHS";2010;615,446907377599;0,396;400;0,408;3201,87381521892;54,5;1998;0,572;452;728;0,435;354;0,415;695;4071;0,57;663;0,566
"Grande discipline";"LLASHS";2011;666;0,405;477;0,43;3237;54,7;2061;0,552;451;877;0,388;372;0,419;686;4575;0,57;655;0,595
"Grande discipline";"LLASHS";2012;662;0,411;473;0,427;3445;56,4;2258;0,587;428;849;0,425;368;0,424;630;4557;0,567;601;0,589
"Grande discipline";"LLASHS";2013;629;0,458;454;0,498;3508;56;2380;0,563;351;810;0,427;310;0,426;635;4727;0,564;602;0,615
"Grande discipline";"LLASHS";2014;672;0,481;500;0,498;3498;56,4;2373;0,566;326;792;0,473;285;0,484;568;4861;0,557;545;0,528
"Grande discipline";"LLASHS";2015;638;0,464;478;0,481;3369;55,6;2322;0,569;322;816;0,431;288;0,438;537;4785;0,558;515;0,532
"Grande discipline";"LLASHS";2016;638;0,505;475;0,516;3377;56,1;2391;0,571;328;811;0,459;291;0,495;549;4836;0,573;528;0,642
"Grande discipline";"LLASHS";2017;600;0,493;443;0,497;3447;56,6;2397;0,575;282;760;0,468;254;0,512;509;4770;0,57;486;0,566
"Grande discipline";"LLASHS";2018;695;0,485;529;0,493;3495;56,3;2414;0,574;243;766;0,49;222;0,482;519;4578;0,565;480;0,55
"Grande discipline";"LLASHS";2019;588;0,481;448;0,493;3573;56,1;2482;0,572;226;724;0,486;209;0,44;435;4416;0,555;413;0,593
"Grande discipline";"LLASHS";2020;734;0,497;541;0,518;3645;56,3;2505;0,585;248;844;0,474;229;0,476;466;4712;0,549;448;0,574
"Grande discipline";"Pharma";2009;62,8368139873725;0,436;25;0,6;513,509574371556;56,7;378;0,556;22;34;0,324;19;0,474;70;382;0,521;66;0,606
"Grande discipline";"Pharma";2010;37,3288003885381;0,45;15;0,467;366,676662900384;59,3;236;0,627;21;36;0,417;17;0,471;62;328;0,555;58;0,569
"Grande discipline";"Pharma";2011;38;0,474;18;0,444;401;56,1;297;0,586;23;49;0,429;21;0,571;50;379;0,557;49;0,755
"Grande discipline";"Pharma";2012;46;0,457;17;0,471;428;55,8;288;0,538;25;45;0,4;22;0,5;50;375;0,499;49;0,531
"Grande discipline";"Pharma";2013;40;0,35;21;0,429;334;63,2;235;0,609;25;41;0,293;23;0,261;30;299;0,515;30;0,5
"Grande discipline";"Pharma";2014;37;0,459;18;0,611;373;60,1;279;0,599;24;38;0,368;23;0,391;53;408;0,495;49;0,551
"Grande discipline";"Pharma";2015;45;0,444;26;0,423;365;59,7;268;0,623;15;26;0,269;15;0,267;38;320;0,619;37;0,784
