"Année";"Périmètre";"Périmètre.ID";"Concours.Postes.MCF";"Concours.Postes.PR"
"2018";"Grande discipline";"DEG";225;111
"2018";"Grande discipline";"LLASHS";467;241
"2018";"Grande discipline";"Pharma";23;11
"2018";"Grande discipline";"ST";367;213
"2019";"Grande discipline";"DEG";232;105
"2019";"Grande discipline";"LLASHS";419;227
"2019";"Grande discipline";"Pharma";23;14
"2019";"Grande discipline";"ST";355;234
"2020";"Grande discipline";"DEG";235;96
"2020";"Grande discipline";"LLASHS";455;250
"2020";"Grande discipline";"Pharma";31;14
"2020";"Grande discipline";"Santé";1;1
"2020";"Grande discipline";"ST";396;259
"2020";"Grande discipline";NA;1;NA
"2021";"Grande discipline";"DEG";210;99
"2021";"Grande discipline";"LLASHS";413;243
"2021";"Grande discipline";"Pharma";31;14
"2021";"Grande discipline";"Santé";5;NA
"2021";"Grande discipline";"ST";388;249
"2021";"Grande discipline";NA;NA;1
"2022";"Grande discipline";"DEG";252;93
"2022";"Grande discipline";"LLASHS";488;284
"2022";"Grande discipline";"Pharma";27;15
"2022";"Grande discipline";"Santé";11;1
"2022";"Grande discipline";"ST";499;285
"2022";"Grande discipline";NA;4;1
"2023";"Grande discipline";"DEG";290;92
"2023";"Grande discipline";"LLASHS";587;238
"2023";"Grande discipline";"Pharma";31;11
"2023";"Grande discipline";"Santé";7;1
"2023";"Grande discipline";"ST";565;293
"2023";"Grande discipline";NA;2;NA
"2018";"Groupe";"1";103;51
"2018";"Groupe";"10";69;36
"2018";"Groupe";"11";23;11
"2018";"Groupe";"12";108;40
"2018";"Groupe";"2";122;60
"2018";"Groupe";"3";177;89
"2018";"Groupe";"4";179;112
"2018";"Groupe";"5";112;72
"2018";"Groupe";"6";21;14
"2018";"Groupe";"7";34;24
"2018";"Groupe";"8";14;17
"2018";"Groupe";"9";117;50
"2018";"Groupe";NA;3;NA
"2019";"Groupe";"1";111;52
"2019";"Groupe";"10";58;33
"2019";"Groupe";"11";23;14
"2019";"Groupe";"12";108;33
"2019";"Groupe";"2";121;53
"2019";"Groupe";"3";139;95
"2019";"Groupe";"4";172;98
"2019";"Groupe";"5";127;72
"2019";"Groupe";"6";15;28
"2019";"Groupe";"7";27;20
"2019";"Groupe";"8";14;15
"2019";"Groupe";"9";114;66
"2019";"Groupe";NA;NA;1
"2020";"Groupe";"1";113;51
"2020";"Groupe";"10";68;36
"2020";"Groupe";"11";31;14
"2020";"Groupe";"12";101;42
"2020";"Groupe";"15";1;1
"2020";"Groupe";"2";122;45
"2020";"Groupe";"3";158;99
"2020";"Groupe";"4";196;109
"2020";"Groupe";"5";137;70
"2020";"Groupe";"6";22;28
"2020";"Groupe";"7";31;24
"2020";"Groupe";"8";23;18
"2020";"Groupe";"9";115;83
"2020";"Groupe";NA;1;NA
"2021";"Groupe";"1";92;57
"2021";"Groupe";"10";60;46
"2021";"Groupe";"11";31;14
"2021";"Groupe";"12";101;41
"2021";"Groupe";"15";5;NA
"2021";"Groupe";"2";118;42
"2021";"Groupe";"3";147;79
"2021";"Groupe";"4";164;123
"2021";"Groupe";"5";134;73
"2021";"Groupe";"6";26;23
"2021";"Groupe";"7";29;29
"2021";"Groupe";"8";21;10
"2021";"Groupe";"9";118;68
"2021";"Groupe";NA;1;1
"2022";"Groupe";"1";120;48
"2022";"Groupe";"10";86;48
"2022";"Groupe";"11";27;15
"2022";"Groupe";"12";106;46
"2022";"Groupe";"15";11;1
"2022";"Groupe";"2";132;45
"2022";"Groupe";"3";181;98
"2022";"Groupe";"4";201;140
"2022";"Groupe";"5";176;85
"2022";"Groupe";"6";27;23
"2022";"Groupe";"7";35;32
"2022";"Groupe";"8";21;22
"2022";"Groupe";"9";154;75
"2022";"Groupe";NA;4;1
"2023";"Groupe";"1";142;40
"2023";"Groupe";"10";91;43
"2023";"Groupe";"11";31;11
"2023";"Groupe";"12";140;30
"2023";"Groupe";"15";7;1
"2023";"Groupe";"2";148;52
"2023";"Groupe";"3";195;83
"2023";"Groupe";"4";250;125
"2023";"Groupe";"5";189;83
"2023";"Groupe";"6";34;29
"2023";"Groupe";"7";47;24
"2023";"Groupe";"8";25;19
"2023";"Groupe";"9";179;95
"2023";"Groupe";NA;4;NA
"2018";"Section";"1";56;26
"2018";"Section";"10";6;1
"2018";"Section";"11";49;23
"2018";"Section";"12";11;4
"2018";"Section";"13";6;3
"2018";"Section";"14";27;12
"2018";"Section";"15";21;3
"2018";"Section";"16";44;18
"2018";"Section";"17";15;10
"2018";"Section";"18";27;10
"2018";"Section";"19";22;17
"2018";"Section";"2";23;19
"2018";"Section";"20";5;2
"2018";"Section";"21";12;23
"2018";"Section";"22";25;23
"2018";"Section";"23";23;7
"2018";"Section";"24";6;2
"2018";"Section";"25";21;14
"2018";"Section";"26";27;25
"2018";"Section";"27";64;33
"2018";"Section";"28";7;9
"2018";"Section";"29";4;2
"2018";"Section";"3";4;2
"2018";"Section";"30";10;3
"2018";"Section";"31";11;12
"2018";"Section";"32";14;6
"2018";"Section";"33";9;6
"2018";"Section";"34";2;4
"2018";"Section";"35";7;7
"2018";"Section";"36";3;4
"2018";"Section";"37";2;2
"2018";"Section";"4";20;4
"2018";"Section";"5";37;24
"2018";"Section";"6";85;36
"2018";"Section";"60";54;18
"2018";"Section";"61";26;14
"2018";"Section";"62";16;7
"2018";"Section";"63";21;11
"2018";"Section";"64";21;13
"2018";"Section";"65";17;7
"2018";"Section";"66";5;5
"2018";"Section";"67";14;7
"2018";"Section";"68";6;2
"2018";"Section";"69";6;2
"2018";"Section";"7";26;13
"2018";"Section";"70";35;18
"2018";"Section";"71";35;5
"2018";"Section";"72";1;NA
"2018";"Section";"73";1;2
"2018";"Section";"74";36;15
"2018";"Section";"76";3;NA
"2018";"Section";"8";5;7
"2018";"Section";"85";7;3
"2018";"Section";"86";13;5
"2018";"Section";"87";3;3
"2018";"Section";"9";26;23
"2019";"Section";"1";50;25
"2019";"Section";"10";2;4
"2019";"Section";"11";51;22
"2019";"Section";"12";4;NA
"2019";"Section";"13";2;NA
"2019";"Section";"14";20;16
"2019";"Section";"15";17;7
"2019";"Section";"16";53;14
"2019";"Section";"17";10;9
"2019";"Section";"18";20;19
"2019";"Section";"19";30;13
"2019";"Section";"2";42;23
"2019";"Section";"20";3;4
"2019";"Section";"21";17;9
"2019";"Section";"22";20;19
"2019";"Section";"23";13;8
"2019";"Section";"24";6;3
"2019";"Section";"25";22;15
"2019";"Section";"26";40;18
"2019";"Section";"27";65;39
"2019";"Section";"28";8;22
"2019";"Section";"29";4;2
"2019";"Section";"3";6;3
"2019";"Section";"30";3;4
"2019";"Section";"31";15;11
"2019";"Section";"32";9;3
"2019";"Section";"33";3;6
"2019";"Section";"34";4;4
"2019";"Section";"35";9;8
"2019";"Section";"37";1;1
"2019";"Section";"4";13;1
"2019";"Section";"5";44;18
"2019";"Section";"6";77;35
"2019";"Section";"60";51;25
"2019";"Section";"61";33;20
"2019";"Section";"62";10;8
"2019";"Section";"63";20;13
"2019";"Section";"64";21;12
"2019";"Section";"65";13;5
"2019";"Section";"66";4;6
"2019";"Section";"67";8;3
"2019";"Section";"68";4;3
"2019";"Section";"69";8;4
"2019";"Section";"7";15;18
"2019";"Section";"70";34;15
"2019";"Section";"71";25;9
"2019";"Section";"72";1;1
"2019";"Section";"73";2;1
"2019";"Section";"74";46;7
"2019";"Section";"8";7;3
"2019";"Section";"85";13;4
"2019";"Section";"86";9;7
"2019";"Section";"87";1;3
"2019";"Section";"9";21;25
"2019";"Section";"36";NA;2
"2019";"Section";"76";NA;1
"2020";"Section";"1";53;30
"2020";"Section";"10";5;NA
"2020";"Section";"11";53;21
"2020";"Section";"12";6;2
"2020";"Section";"13";4;2
"2020";"Section";"14";18;13
"2020";"Section";"15";15;12
"2020";"Section";"16";46;18
"2020";"Section";"17";18;12
"2020";"Section";"18";29;12
"2020";"Section";"19";26;14
"2020";"Section";"2";40;15
"2020";"Section";"20";5;5
