UAI,Etablissement,Référence GALAXIE,N° dans le SI local,Article,Corps,Chaire,Section,Section2,Section3,Date de prise de fonction,Date ouverture cand,Date clôture cand,Profil,Localisation,Etat de vacance
0062205P,UNIVERSITE COTE D'AZUR,41 *,01 MCF 784,26-I-1,MCF,Non,1,,,01/09/2021,25/02/2021,30/03/2021,Droit des contrats,Nice,
0141408E,UNIVERSITE DE CAEN,4490 *,,26-I-1,MCF,Non,1,,,01/09/2021,25/02/2021,30/03/2021,"Le (la) candidat(e) recruté(e)aura des enseignements en fiscalité, droit des groupes, droit des sociétés, droit des entreprises et droit bancaire. La formation s adressera à un public de non juristes.",CAEN,
0211139Z,UNIVERSITE DE DIJON (IUT DIJON),4568 *,E000000005,26-I-1,MCF,Non,1,,,01/09/2021,25/02/2021,30/03/2021,Droit international des affaires,DIJON,
0211237F,UNIVERSITE DE DIJON,4558 *,E000000712,26-I-1,MCF,Non,1,,,01/09/2021,25/02/2021,30/03/2021,Droit international de l'arbitrage,DIJON,
0311382J,UNIVERSITE TOULOUSE 1,4228,,26-I-1,MCF,Non,1,,,01/09/2021,25/02/2021,30/03/2021,"- Recherche et enseignement en droit pénal et/ou procédure pénale et/ou droit pénal européen (CEDH ou UE) et/ou droit pénal international,- Maîtrise d'une langue étrangère",2 rue du Doyen Gabriel Marty,
0311382J,UNIVERSITE TOULOUSE 1,4229,,26-I-1,MCF,Non,1,,,01/09/2021,25/02/2021,30/03/2021,"-Recherche: propriété intellectuelle et des nouvelles technologies (maîtrise de la langue anglaise)-Enseignement: propriété intellectuelle, plus largement droit de l'innovation et droit des affaires",2 rue du Doyen Gabriel Marty,
0311382J,UNIVERSITE TOULOUSE 1,4230,,26-I-1,MCF,Non,1,,,01/09/2021,25/02/2021,30/03/2021,(Voir pièce jointe),50 Avenue de Bordeaux,
0333298F,UNIVERSITE DE BORDEAUX,575 *,,26-I-1,MCF,Non,1,,,01/09/2021,25/02/2021,30/03/2021,Droit social,Pessac,
0350936C,UNIVERSITE RENNES 1,4539 *,MCF0347,26-I-1,MCF,Non,1,,,01/09/2021,25/02/2021,30/03/2021,"Droit pénal en lien avec les priorités du laboratoire : Responsabilité, Santé/vulnérabilité, Numérique, Europe(s). Intérêt pour la recherche collective, interdisciplinaire et internationale",RENNES,
0383546Y,UNIVERSITE GRENOBLE ALPES,67 *,38395,26-I-1,MCF,Non,1,,,01/09/2021,25/02/2021,30/03/2021,"Droit privé, introduction au droit, droit des obligations, droit des affaires (droit commercial)",Valence,
