etablissementLibelle,id,articleReference,corps,chaire,section,section2,section3,datePublicationPoste,datePriseDePoste,dateOuvertureCandidatures,dateFermetureCandidatures,descriptionPoste,typeCandidatureConcours,typeCandidatureMutation,typeCandidatureDétachement,typeCandidatureRecrutementEtranger,typeCandidatureIntégrationDirecte,typeCandidatureRecrutementSurContrat,région,etatPoste,statutPoste,typeCampagne,dateScraping
.UNIVERSITE MONTPELLIER 3 (PAUL VALERY,c2f6412bf94b544d2d8735cb0e84508a7c5e7c4fc42bb32b1ed0b09cbd642396,,ATER,,1,NA,NA,NA,NA,2025-04-02,2025-05-03,Droit privé,False,False,False,False,False,False,Occitanie,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE DE TOURS,c0cb2b272425ac9f3c3d1abbc392f4e96f43e6beebb097817f9cb65dfbf173de,,ATER,,1,NA,NA,NA,NA,2025-02-27,2025-03-20,"Droit civil, droit des affaires, droit pénal",False,False,False,False,False,False,Centre-Val de Loire,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE D'ANGERS,bd6f5ce4725509f51942c71c4471d6dd9d029be4ca14039211cc9dd9a42b5f9c,,ATER,,1,NA,NA,NA,NA,2025-11-02,2025-12-03,"Droit civil, droit des affaires,",False,False,False,False,False,False,Pays de la Loire,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE D'ANGERS,883e56ebe7f80f7e5dd639376bcd2b6e2c0f97c7e2a9b11b4ecb7f2e53edb5e7,,ATER,,1,NA,NA,NA,NA,2025-11-02,2025-12-03,"Droit civil, droit pénal",False,False,False,False,False,False,Pays de la Loire,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE DE LORRAINE,9ae0ddf301f8e6be3c67c3b8f43f6de0c568b11268117eb7aa98bd899b0685eb,,ATER,,1,NA,NA,NA,NA,2025-02-19,2025-03-19,Droit privé et sciences criminelle,False,False,False,False,False,False,Grand Est,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE DE LORRAINE,09295edc3ab74d15fa23dfbe6c3acbe8b965dd06b6a0716c7a1aaaf4ce1823f2,,ATER,,1,NA,NA,NA,NA,2025-02-19,2025-03-19,Droit privé et sciences criminelle,False,False,False,False,False,False,Grand Est,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE DE LORRAINE,476f56b83704b8eba78464d9ea836e2efb29e5aaf548337fef619ef86dbb8472,,ATER,,1,NA,NA,NA,NA,2025-02-19,2025-03-19,Droit privé et sciences criminelle,False,False,False,False,False,False,Grand Est,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE DE LORRAINE,fb13b6882fb0bbf6b42c11296db6079c9b9b1238038944af21fa3d15ddf2ec7c,,ATER,,1,NA,NA,NA,NA,2025-02-19,2025-03-19,Droit privé et sciences criminelle,False,False,False,False,False,False,Grand Est,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE DE LORRAINE,dc88e51c76bed3aedb56e2c7d00b6cec97f7970339c97dc9c0751bf5d3b8c5d4,,ATER,,1,NA,NA,NA,NA,2025-02-19,2025-03-19,Droit privé et sciences criminelles,False,False,False,False,False,False,Grand Est,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE DE LORRAINE,bb0034040f812d675d79f192ae6020c05e918af6abf4efa5b8f65a141522d98f,,ATER,,1,NA,NA,NA,NA,2025-02-19,2025-03-19,Droit Privé,False,False,False,False,False,False,Grand Est,NA,NA,[],2025-03-05T20:34:54Z
